Date,Day,Month,Year,Month_Num,Quarter
2018-01-01,Monday,January,2018,1,1
2018-01-02,Tuesday,January,2018,1,1
2018-01-03,Wednesday,January,2018,1,1
2018-01-04,Thursday,January,2018,1,1
2018-01-05,Friday,January,2018,1,1
2018-01-06,Saturday,January,2018,1,1
2018-01-07,Sunday,January,2018,1,1
2018-01-08,Monday,January,2018,1,1
2018-01-09,Tuesday,January,2018,1,1
2018-01-10,Wednesday,January,2018,1,1
2018-01-11,Thursday,January,2018,1,1
2018-01-12,Friday,January,2018,1,1
2018-01-13,Saturday,January,2018,1,1
2018-01-14,Sunday,January,2018,1,1
2018-01-15,Monday,January,2018,1,1
2018-01-16,Tuesday,January,2018,1,1
2018-01-17,Wednesday,January,2018,1,1
2018-01-18,Thursday,January,2018,1,1
2018-01-19,Friday,January,2018,1,1
2018-01-20,Saturday,January,2018,1,1
2018-01-21,Sunday,January,2018,1,1
2018-01-22,Monday,January,2018,1,1
2018-01-23,Tuesday,January,2018,1,1
2018-01-24,Wednesday,January,2018,1,1
2018-01-25,Thursday,January,2018,1,1
2018-01-26,Friday,January,2018,1,1
2018-01-27,Saturday,January,2018,1,1
2018-01-28,Sunday,January,2018,1,1
2018-01-29,Monday,January,2018,1,1
2018-01-30,Tuesday,January,2018,1,1
2018-01-31,Wednesday,January,2018,1,1
2018-02-01,Thursday,February,2018,2,1
2018-02-02,Friday,February,2018,2,1
2018-02-03,Saturday,February,2018,2,1
2018-02-04,Sunday,February,2018,2,1
2018-02-05,Monday,February,2018,2,1
2018-02-06,Tuesday,February,2018,2,1
2018-02-07,Wednesday,February,2018,2,1
2018-02-08,Thursday,February,2018,2,1
2018-02-09,Friday,February,2018,2,1
2018-02-10,Saturday,February,2018,2,1
2018-02-11,Sunday,February,2018,2,1
2018-02-12,Monday,February,2018,2,1
2018-02-13,Tuesday,February,2018,2,1
2018-02-14,Wednesday,February,2018,2,1
2018-02-15,Thursday,February,2018,2,1
2018-02-16,Friday,February,2018,2,1
2018-02-17,Saturday,February,2018,2,1
2018-02-18,Sunday,February,2018,2,1
2018-02-19,Monday,February,2018,2,1
2018-02-20,Tuesday,February,2018,2,1
2018-02-21,Wednesday,February,2018,2,1
2018-02-22,Thursday,February,2018,2,1
2018-02-23,Friday,February,2018,2,1
2018-02-24,Saturday,February,2018,2,1
2018-02-25,Sunday,February,2018,2,1
2018-02-26,Monday,February,2018,2,1
2018-02-27,Tuesday,February,2018,2,1
2018-02-28,Wednesday,February,2018,2,1
2018-03-01,Thursday,March,2018,3,1
2018-03-02,Friday,March,2018,3,1
2018-03-03,Saturday,March,2018,3,1
2018-03-04,Sunday,March,2018,3,1
2018-03-05,Monday,March,2018,3,1
2018-03-06,Tuesday,March,2018,3,1
2018-03-07,Wednesday,March,2018,3,1
2018-03-08,Thursday,March,2018,3,1
2018-03-09,Friday,March,2018,3,1
2018-03-10,Saturday,March,2018,3,1
2018-03-11,Sunday,March,2018,3,1
2018-03-12,Monday,March,2018,3,1
2018-03-13,Tuesday,March,2018,3,1
2018-03-14,Wednesday,March,2018,3,1
2018-03-15,Thursday,March,2018,3,1
2018-03-16,Friday,March,2018,3,1
2018-03-17,Saturday,March,2018,3,1
2018-03-18,Sunday,March,2018,3,1
2018-03-19,Monday,March,2018,3,1
2018-03-20,Tuesday,March,2018,3,1
2018-03-21,Wednesday,March,2018,3,1
2018-03-22,Thursday,March,2018,3,1
2018-03-23,Friday,March,2018,3,1
2018-03-24,Saturday,March,2018,3,1
2018-03-25,Sunday,March,2018,3,1
2018-03-26,Monday,March,2018,3,1
2018-03-27,Tuesday,March,2018,3,1
2018-03-28,Wednesday,March,2018,3,1
2018-03-29,Thursday,March,2018,3,1
2018-03-30,Friday,March,2018,3,1
2018-03-31,Saturday,March,2018,3,1
2018-04-01,Sunday,April,2018,4,2
2018-04-02,Monday,April,2018,4,2
